Caltrans District,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,Back Peak Hour,Back Peak Month,Back AADT,Ahead Peak Hour,Ahead Peak Month,Ahead AADT,Latitude,Longitude
3,80,,SAC,R,10.989,,JCT. RTE. 51,13300,127000,117000,20600,227000,213000,38.64603353,-121.3774375
3,80,,SAC,,12.476,,MADISON AVE,20600,228000,213000,19700,201000,190000,38.660997,-121.359841
3,80,,SAC,,14.454,,GREENBACK LANE,19700,201000,190000,14300,187000,179000,38.68271821,-121.3362107
3,80,,SAC,,16.685,,ANTELOPE RD,13100,170000,164000,13600,179000,168000,38.7074253,-121.3092504
3,80,,SAC,,18,,SACRAMENTO/PLACER CO LINE,13600,179000,168000,,,,38.7217319,-121.2935097
3,80,,PLA,,0,,SACRAMENTO/PLACER CO LINE,,,,13300,169000,165000,38.7217319,-121.2935097
3,80,,PLA,,0.268,,"ROSEVILLE, RIVERSIDE DRIVE",13300,169000,165000,11200,166000,158000,38.72468268,-121.2902671
3,80,,PLA,,1.975,,"ROSEVILLE, DOUGLAS BLVD",11200,166000,158000,13100,159000,153000,38.74407403,-121.2706155
3,80,,PLA,,3.07,,"ROSEVILLE, ATLANTIC ST",13100,159000,153000,12300,169000,157000,38.75852747,-121.2612223
3,80,,PLA,,3.661,,"ROSEVILLE, TAYLOR RD",12300,169000,157000,12300,153000,147000,38.76563238,-121.2553622
3,80,,PLA,,4.16,,JCT. RTE. 65,12300,153000,147000,10000,116000,114000,38.76979962,-121.2486947
3,80,,PLA,,6.055,,"ROCKLIN, ROCKLIN RD",10000,116000,114000,7900,92000,91000,38.78837832,-121.2226342
3,80,,PLA,,7.421,,"ROCKLIN, SIERRA COLLEGE ",7900,92000,91000,8000,97000,90000,38.80284383,-121.2054334
3,80,,PLA,,8.724,,NIXON LOOMIS RD ,8000,97000,90000,7200,85000,84000,38.81667327,-121.1889902
3,80,,PLA,,10.35,,PENRYN RD ,7200,85000,84000,7700,79000,79000,38.83386801,-121.1684976
3,80,,PLA,,13.808,,NEWCASTLE RD ,7700,79000,79000,7600,80000,77000,38.87355178,-121.131374
3,80,,PLA,,14.301,,JCT. RTE. 193 WEST,7600,80000,77000,7500,87000,80000,38.87812254,-121.1258362
3,80,,PLA,,16.846,,"AUBURN, AUBURN RAVINE",7500,87000,80000,7400,92000,83000,38.8930561,-121.0839622
3,80,,PLA,,17.289,,"AUBURN, NEVADA ST",7400,92000,83000,7500,87000,78000,38.89727,-121.0780112
